termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
R3;Magasfényű antracit;718x447;0.321;15;4.8135;18,36;275,40;NFA_ANT_ANMM_718x447
R3;Artizán tölgy;293x447;0.131;20;2.6200;6,87;137,40;NFA_ANT_ARF_293x447
R3;Magasfényű latte;293x597;0.175;50;8.7450;10,01;500,50;NFA_ANT_CPMM_293x597
R3;Magasfényű latte;590x447;0.264;15;3.9555;15,09;226,35;NFA_ANT_CPMM_590x447
R3;Matt Dusk White;718x497;0.357;5;1.7840;17,86;89,30;NFA_ANT_FEA_718x497
LAURA/D;Matt Mussel;718x447;0.321;10;3.2090;18,36;183,60;NFA_LU_BGA_718x447
LAURA/D;Matt Stone Grey;293x597;0.175;5;0.8745;10,01;50,05;NFA_LU_CPA_293x597
LAURA/D;Matt Dusk White;357x547;0.195;2;0.3906;11,17;22,34;NFA_LU_FEA_357x547
LAURA/D;Matt Dusk White;357x597;0.213;10;2.1310;12,19;121,90;NFA_LU_FEA_357x597
LAURA/D;Matt antracit;718x297;0.213;10;2.1320;12,20;122,00;NFA_LU_GFA_718x297
LAURA/D;Matt antracit;718x347;0.249;5;1.2455;14,25;71,25;NFA_LU_GFA_718x347
LAURA/D;Matt antracit;718x397;0.285;5;1.4250;16,30;81,50;NFA_LU_GFA_718x397
LAURA/D;Matt antracit;718x447;0.321;5;1.6045;18,36;91,80;NFA_LU_GFA_718x447
LAURA/D;Matt provence;718x297;0.213;10;2.1320;12,20;122,00;NFA_LU_PRA_718x297
R3;Dune Beige;357x497;0.177;10;1.7740;8,88;88,80;NFA_ANT_KAF_357x497
R3;Dune Beige;357x100;0.036;5;0.1785;1,79;8,95;NFAL_ANT_KAF_357x100
R3;Dune Beige;718x250;0.180;20;3.5900;8,98;179,60;NFAH_ANT_KAF_718x250
R3;Cedar Green;357x197;0.070;1;0.0703;3,52;3,52;NFAY_ANT_PRA_357x197
R3;Cedar Green;718x250;0.180;15;2.6925;8,98;134,70;NFAH_ANT_PRA_718x250
LAURA/D;Matt Dusk White;590x427;0.252;1;0.2519;14,41;14,41;NFAY_LU_FEA_590x427
Dfoz;Matt Dusk White;718x250;0.180;5;0.8975;10,27;51,35;NFAH_LU_FEA_718x250
R3;Matt antracit;2035x280;0.570;1;0.5698;28,52;28,52;NFAY_ANT_GFA_2035x280
R3 - Üveges;Dune Beige;357x897;0.320;5;1.6010;14,84;74,20;NFAU_ANT_KAF_357x897
